,Unnamed: 0.1,Unnamed: 0,MCT_NM,naver_keyword,naver_map_url,menu_list
0,0,0,젠,제주도%20젠,https://m.place.naver.com/restaurant/36333194/menu/list,"챠롱박스, 산방산 돔 파스타"
1,1,1,3657,제주도%203657,https://m.place.naver.com/restaurant/37236930/menu/list,"존중동 1층, 존중동 2층, 감사동 1층, 감사동 2층"
2,2,2,가치,제주도%20가치,https://m.place.naver.com/restaurant/1196572041/menu/list,"가이세키오마카세, 모둠사시미2인, 문어튀김과카다이프, 후토마끼, 히야시 토마토, 모듬사시미 3인, 사시미슈토아에, 새우크림고로케, 사시미 모리아와세 2인, 사시미 슈토아에, 사바 와라야끼, 마구로 타르타르, 제주 은갈치 후라이, 사시미 모리아와세 3인, 딱새우 크림 고로케"
3,3,3,곰막,제주도%20곰막,https://m.place.naver.com/restaurant/31204698/menu/list,"회국수, 고등어회, 전복회, 다금바리 1kg(자연), 성게국수, 회덮밥, 고등어구이, 활우럭탕, 활전복죽, 대가리구이, 가마솥밥, 산낙지, 활한치국수, 물회, 넙치/광어"
4,4,4,너븐,제주도%20너븐,https://m.place.naver.com/restaurant/1274239322/menu/list,아메리카노
5,5,5,당당,제주도%20당당,https://m.place.naver.com/restaurant/1589162775/menu/list,"당당수플레, 브런치수플레, 아메리카노, 카페라떼, 초코라떼, 푸릇, 영글, 달콤, 당당크림라떼, 감자스프와브리오슈, 버섯트러플파스타, 토마토라구감자뇨끼"
6,6,6,도렐,제주도%20도렐,https://m.place.naver.com/restaurant/525595743/menu/list,"쑥하리, Nutty Cloud, Caffe Espresso, Dorrell Mocha, 아메리카노, 코르타도, 라떼, 카푸치노, 바닐라라떼, 체리조, 하우스블렌드, 싱글, 콜드브루, 아쌈, 얼그레이"
7,7,7,먹돌,제주도%20먹돌,https://m.place.naver.com/restaurant/1131737857/menu/list,"먹돌 흑돼지 육전 (소), 뼈대 있는 한방 국밥, 제주 고기국수, 제주비빔국수, 뿔소라문어무침, 돔배고기 (소), 톳한치물회국수, 먹돌 흑돼지 육전(대), 돔배고기 (대)"
8,8,8,빵귿,제주도%20빵귿,https://m.place.naver.com/restaurant/320930171/menu/list,"시오빵, 올리브식빵, 치아바타, 앙버터 치아바타, 크로와상"
9,9,9,신관,제주도%20신관,https://m.place.naver.com/restaurant/31761975/menu/list,
10,10,10,아리,제주도%20아리,https://m.place.naver.com/restaurant/1064483025/menu/list,"아리텐동, 에비텐동, 아나고텐동, 아리스시, 아리우동, 아리소바, 소주, 맥주, 아사히, 새우튀김 1마리, 붕장어튀김 1마리, 온천계란 1개"
11,11,11,연돈,제주도%20연돈,https://m.place.naver.com/restaurant/1152651433/menu/list,"연돈볼카츠[단품-1개], 치즈볼카츠, 감귤오름, 한라봉 감귤쥬스, 생맥주[500cc], 연돈볼카츠[박스-5개]"
12,12,12,오라,제주도%20오라,https://m.place.naver.com/restaurant/1661243752/menu/list,
13,13,13,우무,제주도%20우무,https://m.place.naver.com/restaurant/1537940586/menu/list,"커스터드 푸딩, 말차 푸딩, 초코 푸딩, 얼그레이 푸딩 (시즌), 구좌당근푸딩 (시즌), 우무 땅콩 쿠키"
14,14,14,주비,제주도%20주비,https://m.place.naver.com/restaurant/1236752139/menu/list,"돌집 독채 /4인/평일, 돌집 독채/2인특별가/평일, 별채.앨리스 독채/2인/평일"
15,15,15,치꼬,제주도%20치꼬,https://m.place.naver.com/restaurant/1249238360/menu/list,"까르니따스 타코 1인분 2PSC, 까르니따스 밀키트 3인분기준(7조각), 초리조 타코 1인분 2PCS, 새우 타코 1인분 2PCS, 도세끼스 라거, 호세 쿠엘보 (더블샷), 하리토스 멕시코 탄산음료"
16,16,16,크림,제주도%20크림,https://m.place.naver.com/restaurant/1251032328/menu/list,"크림 소다 에이드, 에스프레소, 알롱제, 아메리카노, 플랫화이트, 카페라떼, 카페라떼 허니바닐라, 제주 유기농 말차라떼, 비엔나 커피, (한라봉/청포도/레몬/자몽)소다 에이드, (한라봉/곡물미숫가루/청보리 엿기름 식혜/유자차/레몬차)주스, 제주 우유, 얼그레이 리저브 티, 망고 멜랑 티, 세레니티 티"
17,17,17,풍로,제주도%20풍로,https://m.place.naver.com/restaurant/1818213544/menu/list,"부타카세, 단품메뉴"
18,18,18,피즈,제주도%20피즈,https://m.place.naver.com/restaurant/1648347549/menu/list,"아메리칸버거, 피즈버거, 치즈갈릭감자튀김, 더블버거, 치즈버거, 불고기버거, 핫치킨버거, 오지치즈감자튀김, 오리지널감자튀김, 바닐라쉐이크, 땅콩쉐이크, 제주감귤주스, 핫윙(6pcs), 해쉬브라운(2pcs), 내쉬빌치킨"
19,19,19,하찌,제주도%20하찌,https://m.place.naver.com/restaurant/1840782568/menu/list,오마카세
20,20,20,해왓,제주도%20해왓,https://m.place.naver.com/restaurant/1018684874/menu/list,"💙대표메뉴 : 제주갈치조림 (中), 💙대표메뉴 : 제주우럭조림 (中), 💙대표메뉴 : 제주통갈치구이 (小), 👍인기메뉴 : 제주고등어회, 제주모듬물회(한치,전복,광어회), 제주성게미역국, 제주옥돔구이 (小), 제주갈치구이, 제주산고등어구이, 묵은지고등어조림 (中), 무우고등어조림 (中), 회덮밥, 광어회, 한치회, 전복물회"
21,21,21,홉히,제주도%20홉히,https://m.place.naver.com/restaurant/1018800146/menu/list,"커피(융드립), 크림커피(꼬소/베리), 원두 200g, 드립백"
22,22,22,회심,제주도%20회심,https://m.place.naver.com/restaurant/1904590988/menu/list,"고등어참깨소바, 제주소바, 몸소바, 누룩연어덮밥, 참깨소바, 게우초밥, 성게유부초밥"
23,23,23,88버거,제주도%2088버거,https://m.place.naver.com/restaurant/37698735/menu/list,"888빅버거, 88버거, 아메리칸치즈버거, 머쉬룸버거, 크림소스버거, 어니언칠리버거, 야채볶음밥 추가, 감자튀김, 칠리치즈프라이즈, 치즈프라이즈, 참스테이크, 버펼로윙+감자튀김"
24,24,24,갈치옥,제주도%20갈치옥,https://m.place.naver.com/restaurant/1876373893/menu/list,"통갈치구이세트, 통갈치조림세트, 전복뚝배기, 전복물회, 전복미역국"
25,25,25,갈치왕,제주도%20갈치왕,https://m.place.naver.com/restaurant/1110806547/menu/list,"통갈치실속SET, 가시없는 갈치조림, 통갈치해물찜, 통갈치 구이 세트, 통갈치구이 단품 (식사 미제공), 통갈치 회"
26,26,26,감따남,제주도%20감따남,https://m.place.naver.com/restaurant/1540496129/menu/list,"감따남 스냅 (1~2인 1시간 기준), 귤꽃피크닉 1인, 귤꽃피크닉 2인"
27,27,27,고요새,제주도%20고요새,https://m.place.naver.com/restaurant/1127426352/menu/list,"땅콩버터크림라떼, 디저트, 아메리카노, 라떼, 고요새 티, 고요새 티 에이드"
28,28,28,고이정,제주도%20고이정,https://m.place.naver.com/restaurant/1418560385/menu/list,"숙성흑돼지근고기600g, 숙성흑돼지점심특선2인, 숙성흑돼지근고기400g, 숙성가브리살200g, 흑돼지김치찌개"
29,29,29,곱들락,제주도%20곱들락,https://m.place.naver.com/restaurant/37765917/menu/list,"제주흑돼지2인, 제주한우갈비살, 제주한우양념갈비살, 제주산돼지양념갈비, 흑돼지쫄면(비빔,물냉), 제주한우육회비빔밥, 갈치속젓볶음밥, 제주한우된장찌개, 흑돼지김치찌개, 어린이볶음밥, 제주백돼지2인"
30,30,30,남또리,제주도%20남또리,https://m.place.naver.com/restaurant/11568548/menu/list,"남또리 A코스(1kg2~3인), 남또리 B코스(1kg2~3인), 남또리스페셜 VIP(1kg2~3인), 남또리스페셜 GOLD(1kg2~3인), 갈치코스(2인 이상 주문가능) 1인, 고등어코스(2인 이상 주문가능) 1인"
31,31,31,노라바,제주도%20노라바,https://m.place.naver.com/restaurant/37438036/menu/list,"문어라면, 돌문어숙회(한접시), 해물라면, 옛날도시락"
32,32,32,논짓물,제주도%20논짓물,https://m.place.naver.com/restaurant/31903042/menu/list,"생물갈치조림(소), 생물갈치조림(대), 생물갈치조림(중), 우럭조림(대), 우럭조림(중), 전복뚝배기, 보말성게국, 활한치물회, 전복물회, 자리물회, 옥돔구이, 갈치구이, 고등어구이, 쥐치조림(대), 쥐치조림(중)"
33,33,33,느루온,제주도%20느루온,https://m.place.naver.com/restaurant/1133943685/menu/list,"제주고등어 봉초밥, 제주돌문어 오일 파스타, 모둠 숙성회, 아보카도 명란튀김, 후토마끼"
34,34,34,대기정,제주도%20대기정,https://m.place.naver.com/restaurant/13444885/menu/list,"통갈치구이(2인), 통갈치조림(2인), 통갈치조림정식 (2인), 통갈치구이정식 (2인), 통갈치스페셜 A (2인), 통갈치스페셜 B (2인), 전복 성게 미역국, 성게돌솥밥, 전복돌솥밥"
35,35,35,델문도,제주도%20델문도,https://m.place.naver.com/restaurant/36859834/menu/list,"아메리카노, 아인슈페너, 콜드브루, 우도땅콩라떼, 제주쑥라떼, 한라봉에이드, 델문도 과채 100% 착즙주스, 오리지널 수제 밀크티"
36,36,36,도두몰,제주도%20도두몰,https://m.place.naver.com/restaurant/1514079190/menu/list,"브리틀아인슈패너, 한라봉아메리카노, 아메리카노, 카페라떼, 제주호지차라떼"
37,37,37,돈고팡,제주도%20돈고팡,https://m.place.naver.com/restaurant/890759830/menu/list,"제주산 흑돼지 근고기 600g, 제주산 백돼지 근고기 600g, 제주산 흑돼지 오겹살 300g (1인), 제주산 백돼지 오겹살 300g (1인), 김치찌개, 된장찌개, 라면, 계란찜 추가"
38,38,38,돈사돈,제주도%20돈사돈,https://m.place.naver.com/restaurant/11840561/menu/list,"제주산 흑돼지400g추가, 제주산 흑돼지2인600g, 제주산 흑돼지3인800g, 김치찌개1인+공기밥, 공기밥"
39,39,39,돈이랑,제주도%20돈이랑,https://m.place.naver.com/restaurant/36503433/menu/list,"제주 명품흑돼지 100g, 제주 흑돼지 추가 300g, 김치말이국수, 보말된장찌개, 김치찌개, 전복해물라면, 물냉면·비빔냉면"
40,40,40,둘레길,제주도%20둘레길,https://m.place.naver.com/restaurant/11491447/menu/list,입장료
41,41,41,듀포레,제주도%20듀포레,https://m.place.naver.com/restaurant/1641688547/menu/list,"더티 팡도르, 더티 크루아상, 바스크 치즈 케이크, 핫 아메리카노, 아이스 아메리카노, 핫 카페라떼, 아이스 카페라떼, 핫 바닐라라떼, 아이스 바닐라라떼, 아이스 플랫 화이트, 핫 아인슈페너, 아이스 아인슈페너, 생 레몬 에이드, 생 자몽 에이드, 밀크티"
42,42,42,라라라,제주도%20라라라,https://m.place.naver.com/restaurant/1414924101/menu/list,"100%당근주스, 당근케이크, 아메리카노, 한라봉냉차, 한라봉온차, 제주 당근마카롱, 에스프레소, 카페라떼, 카푸치노"
43,43,43,로빙화,제주도%20로빙화,https://m.place.naver.com/restaurant/810995268/menu/list,"커피, 피자, 한라봉에이드, 비프버거세트, 쉬림프버거세트, 감자튀김, 소세지&감자튀김, 나쵸&치즈살사, 반반피자"
44,44,44,리볼버,제주도%20리볼버,https://m.place.naver.com/restaurant/1997207951/menu/list,토스카나식 라자냐
45,45,45,마일스,제주도%20마일스,https://m.place.naver.com/restaurant/1065019053/menu/list,"바스크 치즈 케이크, 블루베리 크럼블, 크림브륄레, 플레인 스콘, 오레오 스콘, 아메리카노, 크림브륄레 치즈 플레이트, 갓파더, 헨드릭스진토닉, 핫치킨퀘사디아, 꿀과 청포도, 과일치즈"
46,46,46,마틸다,제주도%20마틸다,https://m.place.naver.com/restaurant/36543262/menu/list,"아메리카노, 카스맥주, 칵테일"
47,47,47,먹고정,제주도%20먹고정,https://m.place.naver.com/restaurant/16906907/menu/list,"흑돼지근고기(2-3인), 근고기추가, 흑본삼겹, 항정살, 갈매기살, 열무국수, 소면, 냉면, 김치찌개"
48,48,48,몽그레,제주도%20몽그레,https://m.place.naver.com/restaurant/36636561/menu/list,"제주보리샌드, 그릭요거트"
49,49,49,무용담,제주도%20무용담,https://m.place.naver.com/restaurant/1214313926/menu/list,주류
50,50,50,문치비,제주도%20문치비,https://m.place.naver.com/restaurant/36132962/menu/list,"제주산 흑돼지 오겹살 300g, 제주산 흑돼지 목살 300g, 통갈매기살, 통항정살, 제주산 일반돼지 오겹살 300g, 제주산 일반돼지 목살 300g, 흑돼지김치찌개, 열무김치냉면, 얼큰라면, 계란찜"
51,51,51,바다다,제주도%20바다다,https://m.place.naver.com/restaurant/38335352/menu/list,"커피, 블루레몬에이드, 칵테일, 쿠키,케익,도넛"
52,52,52,백록집,제주도%20백록집,https://m.place.naver.com/restaurant/1917333580/menu/list,"모듬회, 한치 떡볶이, 한치파전, 해물라면, 딱새우회, 고등어회, 해장 파스타, 미나리 와 육전, 명란 두부탕, 갈치튀김, 광어&도미회"
53,53,53,범하다,제주도%20범하다,https://m.place.naver.com/restaurant/1077462362/menu/list,"제주Set(고등어+딱새우), 활낙지덮밥, 모듬Set(모듬회+딱새우), 모듬해산물, 연어초밥(8ps), 딱새우회, 고등어회, 전복마늘구이(8ps), 흑돼지불백, 낙지탕탕이(1마리), 모듬회(소), 모듬회(대), 계절 방어회, 계절 한치회"
54,54,54,별돈별,제주도%20별돈별,https://m.place.naver.com/restaurant/1160940163/menu/list,"흑돼지, 워터에이징흑돼지, 점심 2인세트, 흑돼지 1인세트, 항정살, 가브리살, 별돈세트, 돈별세트, 백돼지"
55,55,55,뷰스트,제주도%20뷰스트,https://m.place.naver.com/restaurant/1106105460/menu/list,"현무암라떼, 화산송이라떼, 밤라떼, 레몬 스파클링, 모히또 스파클링, 생딸기우유, 리얼초코라떼, 아메리카노, 카페라떼, 플랫화이트"
56,56,56,수우동,제주도%20수우동,https://m.place.naver.com/restaurant/36823910/menu/list,"수우동, 유부우동, 자작냉우동, 비빔냉우동, 핑거돈가스정식, 둥글넙적어묵우동, 돈가스단품, 모듬튀김, 고로케"
57,57,57,스카이,제주도%20스카이,https://m.place.naver.com/restaurant/38513808/menu/list,
58,58,58,싱싱잇,제주도%20싱싱잇,https://m.place.naver.com/restaurant/1669662921/menu/list,"싱싱잇 시그니처 흑돼지 바베큐, 수제 그릴 소세지, 상하이 해물 파스타, 트러플 머쉬룸 파스타, 오리엔탈 알리오 올리오, 과일 & 치즈 플래터, 싱싱싱 브리 치즈, 올리브 카프레제, 로매인 시저 샐러드, 브라운치즈 아이스크림, 크림 치즈 비스켓"
59,59,59,안도르,제주도%20안도르,https://m.place.naver.com/restaurant/1574419480/menu/list,"돌땅크라떼, 안돌오름, 아메리카노, 카페라떼, 무화과바게트, 티라미슈, 당근케이크, 송당건강당근빵"
60,60,60,애월당,제주도%20애월당,https://m.place.naver.com/restaurant/1250036232/menu/list,"현무암하카롱 5구, 프리미엄하카롱 5구, 애월돌크림빵, 땅콩돌크림빵, 딸기돌크림빵, 종합9구세트, 애월돌크림빵4구세트, 아메리카노(HOT/ICE), 카페라떼(HOT/ICE), 바닐라라떼(HOT/ICE), 한라봉차(HOT/ICE), 한라봉주스, 청포도 에이드, 자두 에이드, 현무암 라떼(HOT/ICE)"
61,61,61,애월찜,제주도%20애월찜,https://m.place.naver.com/restaurant/36060798/menu/list,"전복+낙지+매운갈비찜(2인), 날치알 볶음밥, 전복+낙지+매운갈비찜(3~4인), 매운갈비찜(3~4인), 매운갈비찜(2인), 날치알 김가루 주먹밥, 계란찜 추가"
62,62,62,양대감,제주도%20양대감,https://m.place.naver.com/restaurant/1284151541/menu/list,"모듬메뉴, 청정흑돼지 뼈삼겹 (100g당), 청정흑돼지근고기 600g, 제주돼지 목갈비살 (100g), 제주돼지 꽃목살, 제주돼지 KDS뼈등심 (100g), 제주돼지 오겹살, 제주돼지 생갈비, 게우철판볶음밥, 톳비빔냉면/톳물냉면, 된장찌개, 김치찌개"
63,63,63,오드씽,제주도%20오드씽,https://m.place.naver.com/restaurant/1356075799/menu/list,"씨푸드플레이드, 가든샐러드썬피자 10인치, 뭐햄쉬, 비건라떼, 엘더플라워 에이드, 모히또에이드, 자몽에이드, 레몬크린베리에이드, Odd 1074, Sky Box, Odd Night, Apple Bum, Soft Brown, 인절미스무디, 코코넛스무디"
64,64,64,오르방,제주도%20오르방,https://m.place.naver.com/restaurant/1632801793/menu/list,
65,65,65,온오프,제주도%20온오프,https://m.place.naver.com/restaurant/1894902699/menu/list,"바질 치즈 돈가스, 제주흑돼지돈까스, 제주흑돼지 치즈돈까스, 한라봉에이드, 콜드브루, 온오프 콤보 세트, 하와이언 콤보 세트, 분다버그 망고, 분다버그 자몽, 분다버그 레몬"
66,66,66,우니담,제주도%20우니담,https://m.place.naver.com/restaurant/1106239393/menu/list,"성게덮밥(우니덮밥), 성게미역국과 전복가마솥밥, 성게비빔밥(우니비빔밥), 옥돔구이와 전복가마솥밥, 성게미역국/전복미역국, 장어덮밥, 성게덮밥(우니덮밥)大, 제주 성게한판(우니한판), 떡갈비, 장어구이, 옥돔구이, 양념게장, 무알콜 맥주, 콜라/사이다/환타"
67,67,67,이익새,제주도%20이익새,https://m.place.naver.com/restaurant/299612944/menu/list,"말차파운드, 리얼초코파운드, 레몬파운드, 백년초무화과파운드, 제주당근파운드, 리얼치즈파운드, 보틀우유"
68,68,68,잔물결,제주도%20잔물결,https://m.place.naver.com/restaurant/1916744467/menu/list,"잔물결블렌드커피, 크림 도나스, 수제치즈케이크, 산 오름 크림커피, 바람 보름"
69,69,69,제갈양,제주도%20제갈양,https://m.place.naver.com/restaurant/16866249/menu/list,"2인조림, 2인구이, 갈치뚝배기, 생선초밥, 회덮밥, 전복죽"
70,70,70,쪼끌락,제주도%20쪼끌락,https://m.place.naver.com/restaurant/36399029/menu/list,"김녕라떼, 돌하르방라떼, 돌하르방아포가토, 당근케이크, 치즈케이크, 아메리카노, 얼그레이, 잉글리쉬블랙퍼스트, 카모마일, 페퍼민트, 한라봉차, 청귤차, 에메랄드레몬에이드, 쪼끌락에이드, 한라봉에이드"
71,71,71,착한집,제주도%20착한집,https://m.place.naver.com/restaurant/1131393322/menu/list,"착한A 상차림(2인), 바른A상차림(2인), 왕갈갈조림(특)(5~6인추천), 착한B상차림(2인), 바른B상차림(2인), 착한점심/고등어조림 + 고등어구이(1인), 통갈치구이+고등어조림, 통갈치구이(대)+고등어조림+해물뚝배기, 왕갈갈조림(중)(2~3인추천), 왕갈갈조림(대)(3~4인추천), 갈갈조림(뼈없는은갈치+제주산흑돼지), 뼈없는갈치조림+고등어구이(중), 고등어조림+고등어구이(중), 갈치회, 고등어회"
72,72,72,충민정,제주도%20충민정,https://m.place.naver.com/restaurant/885071561/menu/list,"통갈치구이 (2인), 통갈치구이 (4인), 통갈치구이 (3인), 통갈치구이 (5인), 특대 통갈치구이, 갈치조림 大, 갈치조림 小, 고등어조림 大, 고등어조림 小, 고등어구이"
73,73,73,칠돈가,제주도%20칠돈가,https://m.place.naver.com/restaurant/20583529/menu/list,"칠돈가근고기(백돼지) 600g, 흑도야지근고기 600g, 김치찌개, 소주,맥주, 물냉면, 된장찌개"
74,74,74,타쿠마,제주도%20타쿠마,https://m.place.naver.com/restaurant/307022508/menu/list,"일출봉슈토아에, 포케(poke), 광치기해초냉파스타, 타쿠마 특스시, 제주고등어초밥, 타쿠마한그릇, 탁마초밥, 연어초밥, 모듬사시미, 모듬참치, 모듬사시미1/2+모듬참치1/2, 타쿠마빨간우동, 타쿠마등푸른우동, 타쿠마등푸른소바, 규동"
75,75,75,페를로,제주도%20페를로,https://m.place.naver.com/restaurant/1589614745/menu/list,"흑돼지 수비드 뼈삼겹, 성게우니 파스타, 문어보말파스타, 고등어파스타, 와규 등심 스테이크, 나폴리 화덕피자"
76,76,76,풀베개,제주도%20풀베개,https://m.place.naver.com/restaurant/1090905770/menu/list,"스윗풀베개, 마음, 에스프레소, 아메리카노, 아메리카노 싱글 오리진, 카페라떼, 플렛 화이트, 아포가토, 에스프레소 콘파냐, 바닐라라떼, 딸기라떼, 풀베게 귤 아이스티, 바이스크레메, 풀베게 블렌드, 녹차라떼"
77,77,77,한라원,제주도%20한라원,https://m.place.naver.com/restaurant/1533978056/menu/list,"흑돼지 돈마호크 모듬 2인세트, 갈비초밥, 한우, 제육쌈밥(2인), 묵은지찜(2인), 김치찌개, 된장찌개, 어린이돈가스, 비빔냉면, 물냉면, 한라원비빔밥, 돌솥비빔밥, 갈비탕, 고등어구이"
78,78,78,해월정,제주도%20해월정,https://m.place.naver.com/restaurant/16880858/menu/list,"해월정세트[2인특선메뉴], 커플세트[2인특선메뉴], 보말칼국수, 보말죽, 성게보말죽, [특]전복잔치물회, 톳부추천, 톳초부침, 멍게 한접시, 전복 한접시, 문어숙회, 해산물한접시, 모듬물회, 공기밥/소면사리, 고명추가"
79,79,79,행복밀,제주도%20행복밀,https://m.place.naver.com/restaurant/1026954941/menu/list,"산딸기맘모스, 누네띄네스콘, 녹차크림빵, 마늘버터스프레드, 쌀팥빵, 슈크림도넛, 마늘바게트, 녹차맘모스"
80,80,80,홍성방,제주도%20홍성방,https://m.place.naver.com/restaurant/16938848/menu/list,"빨간해물짬뽕, 탕수육, 하얀해물짬뽕, 고기짬뽕, 해물짜장면, 사천해물짜장면, 해물볶음밥, 칠리새우, 크림새우, 깐풍새우, A코스-새우요리-탕수육-식사(2인이상가능), B코스-냉채-생선요리-새우요리-탕수육-식사(2인이상사능)"
81,81,81,화로위,제주도%20화로위,https://m.place.naver.com/restaurant/1146885120/menu/list,"숙성흑돼지근고기600g, 제주 가브리살200g, 멸젓볶음밥, 김치말이국수"
82,82,82,휴일로,제주도%20휴일로,https://m.place.naver.com/restaurant/1277648050/menu/list,"휴라떼(ICE), 아메리카노(HOT/ICE), 카페라떼(HOT/ICE), 바닐라라떼(HOT/ICE), 카라멜마끼야또(HOT/ICE), 마당라떼(ICE), 설록라떼(ICE), 딸기라떼(ICE), 복숭아아이스티(ICE), 레몬차(HOT/ICE), 콜드브루(ICE), 초코라떼(HOT/ICE), 애플망고스무디(ICE), 한라봉스무디(ICE), 페퍼민트(HOT/ICE)"
83,83,83,갈치카페,제주도%20갈치카페,https://m.place.naver.com/restaurant/1648676466/menu/list,
84,84,84,까망돼지,제주도%20까망돼지,https://m.place.naver.com/restaurant/34818244/menu/list,"제주흑돼지근고기 600g (부위선택), 흑돼지김치찌개, 제주흑돼지근고기추가 300g"
85,85,85,꼬스덴뇨,제주도%20꼬스덴뇨,https://m.place.naver.com/restaurant/1928288067/menu/list,"꼬스뗀뇨라떼, 코코넛커피, 아메리카노, 카페라떼, 까페브륄레"
86,86,86,남경미락,제주도%20남경미락,https://m.place.naver.com/restaurant/11541774/menu/list,"다금바리, 붉바리, 갯돔, 구문쟁이, 참돔, 흑돔"
87,87,87,달콤다락,제주도%20달콤다락,https://m.place.naver.com/restaurant/37727867/menu/list,
88,88,88,대풍미락,제주도%20대풍미락,https://m.place.naver.com/restaurant/19867519/menu/list,"다금바리, 북바리, 갓돔(돌돔), 황돔(국내산), 흑돔, 대풍특선모듬회 大(다금바리,능성어,황돔), 대풍특선모듬회 中(다금바리,능성어,황돔), 대풍특선모듬회 小(다금바리,능성어,황돔), 잡어모듬小(황돔,광어), 잡어모듬中(황돔,광어), 잡어모듬大(황돔,광어), 한치, 멍개, 갈치회, 고등어"
89,89,89,랍스터빈,제주도%20랍스터빈,https://m.place.naver.com/restaurant/1164066100/menu/list,"랍세트, 빈세트, 통랍스터1마리해물라면, 해물볶음밥, 한라봉 에이드, 레몬에이드, 자몽에이드"
90,90,90,램앤블랙,제주도%20램앤블랙,https://m.place.naver.com/restaurant/1609519097/menu/list,"램앤블랙 SET MENU, 프리미엄 양갈비, 흑돼지오겹살180g, 램앤블랙 A-SET, 램앤블랙 B-SET, 프리미엄 프렌치랙"
91,91,91,만선식당,제주도%20만선식당,https://m.place.naver.com/restaurant/11851700/menu/list,"고등어회(소), 고등어회(대), 고등어조림(소), 고등어조림(대), 갈치조림(소), 갈치조림(대), 고등어구이, 회 추가(반접시), 고등어탕 추가, 고등어조림 추가"
92,92,92,무거버거,제주도%20무거버거,https://m.place.naver.com/restaurant/70213029/menu/list,"당근버거, 시금치버거, 마늘버거, 마늘버거 더블, 당근버거 더블, 시금치버거 더블, 버거 탄산수 세트, 버거 탄산수 세트 더블, 버거 밀크 쉐이크 세트, 버거 밀크 쉐이크 세트 더블, 버거 아메리카노세트, 버거 아메리카노세트 더블, 버거 카페라떼세트, 버거 카페라떼세트 더블, 소프트 드링크/콜라 ,사이다,탄산수"
93,93,93,뮤직박스,제주도%20뮤직박스,https://m.place.naver.com/restaurant/37529835/menu/list,
94,94,94,뮤직타워,제주도%20뮤직타워,https://m.place.naver.com/restaurant/1991607464/menu/list,
95,95,95,미쁜제과,제주도%20미쁜제과,https://m.place.naver.com/restaurant/1153699096/menu/list,"아메리카노, 미쁜크림라떼, 오리지널 밀크티, 얼그레이 밀크티, 에스프레소, 카라멜라떼, 카페라떼, 카페모카, 플랫화이트"
96,96,96,미친부엌,제주도%20미친부엌,https://m.place.naver.com/restaurant/36772248/menu/list,"모듬사시미, 크림짱뽕, 고등어초회, 연어머리구이, 고등어구이, 차슈, 도미머리조림, 차돌숙주볶음, 푸짐한 애주가 세트, 고독한 미식가 세트"
97,97,97,보룡제과,제주도%20보룡제과,https://m.place.naver.com/restaurant/1012108385/menu/list,"마늘바게트, 인절미빵, 크림치즈마늘바게트"
98,98,98,봉성식당,제주도%20봉성식당,https://m.place.naver.com/restaurant/17028601/menu/list,"제주산 흑돼지 목살/오겹살(600g), 열무국수, 제주산 백돼지 목살/오겹살(600g), 김치찌개 소"
99,99,99,브루클린,제주도%20브루클린,https://m.place.naver.com/restaurant/1665072427/menu/list,"Goose IPA, 312 어반 위트에일, 브루클린 라거, 라임 모히또, 발베니 12년 700ml, 페트론 실버 750ml, 마틸다 765ml"
100,100,100,블랑로쉐,제주도%20블랑로쉐,https://m.place.naver.com/restaurant/772362739/menu/list,"우도 땅콩크림라떼, 우도 땅콩아이스크림, 우도 땅콩잼, 아메리카노, 카페라떼, 우도땅콩카페라떼, 바스크 치즈케이크, 블랑치즈케이크, 퀸아망, 까눌레, 스콘, 퓨어레몬에이드, 한라봉스무디, 한라봉에이드, 한라봉주스"
101,101,101,삼무국수,제주도%20삼무국수,https://m.place.naver.com/restaurant/16855821/menu/list,"고기국수, 고기비빔국수, 회쟁반국수, 메밀만두, 돔베고기, 멸치국수, 돼지국밥, 순두부찌개"
102,102,102,색달바당,제주도%20색달바당,https://m.place.naver.com/restaurant/1089452165/menu/list,"바당 2인 코스, 바당 4인 코스, 제주 돌돔"
103,103,103,섬소나이,제주도%20섬소나이,https://m.place.naver.com/restaurant/34754552/menu/list,"우짬, 백짬, 땡짬, 소섬(우도)피자, 트러플피자, 공기밥, 우도땅콩막걸리, 우짬소섬세트+음료, 땡짬소섬세트+음료, 백짬소섬세트+음료, 백짬트러플세트, 땡짬 + 트러플, 우짬 + 트러플"
104,104,104,수돈가스,제주도%20수돈가스,https://m.place.naver.com/restaurant/1839448078/menu/list,"등심돈가스, 안심돈가스, 카레돈가스, 치즈멘치가스, 치킨가스, 카레라이스, 온모밀, 냉모밀, 고로케, 특등심, 상등심"
105,105,105,스시망고,제주도%20스시망고,https://m.place.naver.com/restaurant/1475860849/menu/list,"🥉시그니처:모둠사시미(최고급어종), 🥈시그니처:스바라시(사시미+초밥), 🥇시그니처:한라산 은갈치회, 👍셰프추천:우니 감태마키, 👍셰프추천:고갈딱세트, 👍셰프추천:우딱참 한판, ✯고급 성게알 한판[100그램], 🎖대형 제주은갈치 뚱후토마키, 👍점심특선1-우니딱 마구로동, 👍점심특선2-우니 이소베마키[1줄], 🦐 제주 딱새우회, 🐠 참돔회 한판, 🐠 광어회 한판, 🐠 우럭회 한판, 🐠 돌돔/다금바리회[싯가]"
106,106,106,스시애월,제주도%20스시애월,https://m.place.naver.com/restaurant/340224722/menu/list,도로초밥세트
